Data;Diesel;Gasolina
08/02/2018;1,8165;1,5732
09/02/2018;1,7698;1,5259
10/02/2018;1,7657;1,5259
16/02/2018;1,7243;1,4660
17/02/2018;1,7112;1,4877
20/02/2018;1,7369;1,5148
21/02/2018;1,7360;1,5432
22/02/2018;1,7598;1,5573
23/02/2018;1,7699;1,5573
24/02/2018;1,7920;1,5607
27/02/2018;1,8030;1,5623
28/02/2018;1,8205;1,5786
01/03/2018;1,8017;1,6023
02/03/2018;1,7495;1,6105
03/03/2018;1,7463;1,5948
06/03/2018;1,7500;1,5842
07/03/2018;1,7645;1,5923
08/03/2018;1,7539;1,5676
09/03/2018;1,7310;1,5458
10/03/2018;1,7301;1,5353
13/03/2018;1,7583;1,5608
14/03/2018;1,7331;1,5537
15/03/2018;1,7342;1,5415
16/03/2018;1,7478;1,5648
17/03/2018;1,7657;1,5879
20/03/2018;1,7862;1,6048
21/03/2018;1,7751;1,5960
22/03/2018;1,8181;1,6253
23/03/2018;1,8565;1,6404
24/03/2018;1,8475;1,6431
27/03/2018;1,8702;1,6557
28/03/2018;1,8688;1,6643
29/03/2018;1,8884;1,6783
30/03/2018;1,8884;1,6783
03/04/2018;1,8835;1,6783
04/04/2018;1,8578;1,6581
